date,trade_count,has_trade_ticks_ratio,has_underlying_ticks_ratio,has_futures_ticks_ratio,has_depth_ratio,has_subsecond_ratio
2026-03-23,55,0.0,0.0,0.0,0.0,0.0
2026-03-24,57,0.0,0.0,0.0,0.0,0.0
2026-03-25,51,0.0,0.0,0.0,0.0,0.0
2026-03-27,48,0.0,0.0,0.0,0.0,0.0
2026-03-30,54,0.0,0.0,0.0,0.0,0.0
2026-04-01,57,1.0,1.0,0.7017543859649122,1.0,1.0
2026-04-02,57,1.0,1.0,0.7017543859649122,1.0,1.0
2026-04-06,53,1.0,1.0,0.5283018867924528,1.0,1.0
2026-04-07,18,1.0,1.0,0.7777777777777778,1.0,1.0
2026-04-08,35,1.0,1.0,0.8571428571428571,1.0,1.0
2026-04-09,25,1.0,1.0,0.8,1.0,1.0
2026-04-10,47,1.0,1.0,0.5319148936170213,1.0,1.0
