impulse_window,impulse_threshold,direction,time_bucket,events,avg_MFE_3s,avg_MAE_3s,hit_plus_3_rate,tradable_after_cost_0_5pt_rate
1,30,DOWN,09:15-10:00,8,1.2749999999999986,-0.5812499999999858,0.375,0.375
1,25,DOWN,09:15-10:00,17,0.9882352941176444,-0.7823529411764639,0.35294117647058826,0.29411764705882354
5,25,UP,09:15-10:00,76,1.5171052631578887,-1.7328947368421088,0.34210526315789475,0.2894736842105263
1,15,UP,09:15-10:00,78,1.5871794871794829,-2.250000000000001,0.3333333333333333,0.28205128205128205
2,20,UP,09:15-10:00,69,1.462318840579705,-2.1420289855072507,0.2898550724637681,0.2753623188405797
2,15,UP,09:15-10:00,139,1.6089928057553933,-2.231294964028778,0.2805755395683453,0.2733812949640288
3,15,UP,09:15-10:00,172,1.5770348837209303,-2.4741279069767415,0.313953488372093,0.27325581395348836
1,20,UP,09:15-10:00,38,1.3315789473684188,-1.6065789473684213,0.2894736842105263,0.2631578947368421
5,30,UP,09:15-10:00,46,1.7130434782608686,-1.5489130434782596,0.2826086956521739,0.2608695652173913
5,20,UP,09:15-10:00,124,1.3612903225806439,-2.33709677419355,0.3064516129032258,0.25806451612903225
5,15,UP,09:15-10:00,252,1.3918650793650766,-2.268253968253967,0.2896825396825397,0.25396825396825395
3,20,UP,09:15-10:00,83,1.6481927710843354,-2.051807228915667,0.27710843373493976,0.25301204819277107
3,25,UP,09:15-10:00,52,1.7855769230769203,-1.7067307692307714,0.2692307692307692,0.25
2,30,DOWN,09:15-10:00,21,0.9595238095238068,-0.7428571428571412,0.3333333333333333,0.23809523809523808
2,25,UP,09:15-10:00,35,1.411428571428574,-2.0600000000000023,0.2571428571428571,0.22857142857142856
3,30,UP,09:15-10:00,28,1.75535714285714,-2.1267857142857167,0.21428571428571427,0.21428571428571427
3,40,DOWN,09:15-10:00,14,1.2785714285714325,-0.8107142857142825,0.2857142857142857,0.21428571428571427
5,40,UP,09:15-10:00,19,1.2052631578947313,-1.7236842105263188,0.21052631578947367,0.21052631578947367
2,30,UP,09:15-10:00,21,1.3000000000000087,-2.811904761904768,0.19047619047619047,0.19047619047619047
1,15,DOWN,09:15-10:00,95,0.9426315789473687,-0.9273684210526311,0.21052631578947367,0.18947368421052632
3,20,DOWN,09:15-10:00,95,0.8731578947368418,-0.9394736842105263,0.22105263157894736,0.18947368421052632
1,20,DOWN,09:15-10:00,37,1.0000000000000007,-0.5608108108108067,0.2702702702702703,0.1891891891891892
1,25,UP,09:15-10:00,22,1.1454545454545502,-2.068181818181826,0.22727272727272727,0.18181818181818182
1,30,UP,09:15-10:00,11,0.9181818181818305,-2.7090909090909205,0.18181818181818182,0.18181818181818182
2,20,DOWN,09:15-10:00,62,0.800806451612904,-0.7241935483870966,0.22580645161290322,0.1774193548387097
2,40,DOWN,09:15-10:00,12,0.7208333333333333,-0.9749999999999982,0.16666666666666666,0.16666666666666666
3,40,UP,09:15-10:00,12,0.9583333333333309,-2.6750000000000065,0.16666666666666666,0.16666666666666666
1,40,DOWN,09:15-10:00,6,0.4416666666666629,-0.9749999999999887,0.16666666666666666,0.16666666666666666
2,40,UP,09:15-10:00,6,0.49166666666668374,-2.8666666666666836,0.16666666666666666,0.16666666666666666
2,15,DOWN,09:15-10:00,160,0.9059375000000005,-0.8834374999999977,0.2125,0.1625
5,15,DOWN,09:15-10:00,253,0.7543478260869583,-0.9648221343873511,0.18972332015810275,0.1541501976284585
3,15,DOWN,09:15-10:00,204,0.8745098039215686,-0.8593137254901947,0.20098039215686275,0.15196078431372548
5,30,DOWN,09:15-10:00,47,0.965957446808508,-0.8968085106382944,0.19148936170212766,0.14893617021276595
3,30,DOWN,09:15-10:00,27,0.9074074074074061,-0.6462962962962946,0.2222222222222222,0.14814814814814814
5,40,DOWN,09:15-10:00,21,0.897619047619045,-0.6047619047619026,0.19047619047619047,0.14285714285714285
5,25,DOWN,09:15-10:00,92,0.8717391304347811,-0.8951086956521737,0.18478260869565216,0.14130434782608695
5,20,DOWN,09:15-10:00,151,0.7708609271523189,-0.9860927152317881,0.19205298013245034,0.1390728476821192
2,25,DOWN,09:15-10:00,29,0.7706896551724114,-0.6568965517241364,0.1724137931034483,0.13793103448275862
3,25,DOWN,09:15-10:00,50,0.8889999999999993,-0.8239999999999981,0.14,0.12
1,40,UP,09:15-10:00,5,0.0,-3.4700000000000157,0.0,0.0
