date,has_sensex_ticks,has_option_tape,has_manifest,sensex_rows,option_rows,option_symbols,option_start_time,option_end_time,usable
1970-01-01,False,True,False,0,102974,39,1970-01-01T05:30:00,1970-01-01T05:30:00,False
2026-03-30,False,False,False,0,0,0,,,False
2026-04-01,True,False,False,31480,0,0,,,False
2026-04-02,True,False,False,25761,0,0,,,False
2026-04-06,True,False,False,22301,0,0,,,False
2026-04-07,True,False,False,13315,0,0,,,False
2026-04-08,True,False,False,14003,0,0,,,False
2026-04-09,True,False,False,21963,0,0,,,False
2026-04-10,True,False,False,23424,0,0,,,False
2026-04-13,True,False,False,25361,0,0,,,False
2026-04-15,True,False,False,29783,0,0,,,False
2026-04-16,True,False,False,30961,0,0,,,False
2026-04-17,True,False,False,28806,0,0,,,False
2026-04-20,True,False,False,34261,0,0,,,False
2026-04-21,True,False,False,28694,0,0,,,False
2026-04-22,True,False,False,29933,0,0,,,False
2026-04-23,True,True,False,30669,10407,2,2026-04-23T09:32:20,2026-04-23T10:31:38,False
2026-04-24,True,True,False,31595,5258,76,2026-04-24T10:31:17,2026-04-24T15:29:59,False
2026-04-27,True,True,True,31242,1482295,83,2026-04-27T09:15:00,2026-04-27T15:29:59,True
2026-04-28,True,True,True,31104,1486192,81,2026-04-28T09:15:00,2026-04-28T15:29:59,True
2026-04-29,True,True,True,21829,1492796,96,2026-04-29T09:25:28,2026-04-29T15:29:59,True
2026-04-30,True,True,True,27375,1602712,144,2026-04-30T09:15:00,2026-04-30T15:29:59,True
2026-05-04,True,True,True,32427,929123,150,2026-05-04T09:15:00,2026-05-04T15:29:59,False
2026-05-05,True,True,True,27976,1484814,73,2026-05-05T09:15:00,2026-05-05T15:29:59,True
