date,trade_count,baseline_pnl,policy_pnl,delta_pnl
2026-04-13,35,-16400.00000000015,-16400.00000000015,0.0
2026-04-15,41,-10325.000000000073,-10325.000000000073,0.0
2026-04-16,42,-7774.99999999995,-7774.99999999995,0.0
2026-04-17,44,-12500.000000000171,-12500.000000000171,0.0
2026-04-20,41,-20799.999999999956,-20799.999999999956,0.0
2026-04-21,40,-12900.000000000091,-12900.000000000091,0.0
2026-04-22,38,-2025.0000000001196,-2025.0000000001196,0.0
2026-04-23,49,-19850.000000000036,-19850.000000000036,0.0
2026-04-24,46,-6625.000000000057,-6625.000000000057,0.0
