variant_name,days,active_days,days_with_candidates,total_trades,total_net_pnl,average_day_pnl,worst_day_pnl,best_day_pnl,average_profit_factor,average_trade_count,max_drawdown_sum,trade_level_profit_factor,trade_level_win_rate,trade_level_avg_pnl,delta_total_pnl_vs_actual,delta_worst_day_vs_actual,delta_trade_count_vs_actual,beats_actual_total_pnl,beats_actual_worst_day,beats_actual_both,meets_min_activity,beats_actual_both_active
ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,4,2,2,184,156550.0000000003,39137.50000000007,0.0,139126.0000000003,6.4324334352683215,46.0,-38416.0,1.4967475805172146,0.3532608695652174,850.8152173913057,206975.00000000006,26199.999999999905,2.0,True,True,True,True,True
CTX_ATM200_SCORE5_P100_350,4,2,2,63,149055.00000000003,37263.75000000001,-4657.99999999998,153713.0,1.36377266163695,15.75,-20601.99999999992,2.4807768726405732,0.4126984126984127,2365.952380952381,199479.99999999983,21541.999999999927,-119.0,True,True,True,True,True
ATM100_SCORE4_P80_300_SPREAD1P5_DEPTH250,4,2,2,482,143598.9999999999,35899.74999999998,0.0,127742.99999999988,1.3917686569239356,120.5,-168378.00000000003,1.1547900079982578,0.35269709543568467,297.92323651452256,194023.9999999997,26199.999999999905,300.0,True,True,True,True,True
ATM100_SCORE4_STRONG_TRANSMISSION,4,2,2,403,132887.00000000035,33221.75000000009,0.0,132826.00000000035,1.086533316146209,100.75,-129237.99999999991,1.1657854683367437,0.32754342431761785,329.74441687345,183312.00000000012,26199.999999999905,221.0,True,True,True,True,True
ATM100_SCORE4_TRANSMISSION,4,2,2,428,128334.00000000001,32083.500000000004,0.0,125080.99999999997,1.1509722301606269,107.0,-161347.00000000012,1.148401435747523,0.3317757009345794,299.84579439252343,178758.9999999998,26199.999999999905,246.0,True,True,True,True,True
LOOSE_CTX_ATM100_SCORE4_P80_300,4,2,2,359,107899.9999999996,26974.9999999999,-5780.999999999834,113680.99999999945,0.9166533285399409,89.75,-105171.00000000015,1.1452881660836283,0.3342618384401114,300.5571030640658,158324.9999999994,20419.000000000073,177.0,True,True,True,True,True
ATM200_SCORE5_P100_350_SPREAD2_DEPTH250,4,2,2,194,74847.00000000029,18711.750000000073,0.0,58186.000000000306,1.735328986304502,48.5,-43081.99999999985,1.2205267515416875,0.3402061855670103,385.809278350517,125272.00000000007,26199.999999999905,12.0,True,True,True,True,True
CTX_ATM100_SCORE4_P80_300,4,2,2,206,67671.99999999967,16917.999999999916,-6037.999999999923,73709.99999999959,0.7726323001334167,51.5,-90890.00000000023,1.1562867350732904,0.33495145631067963,328.50485436893047,118096.99999999945,20161.99999999998,24.0,True,True,True,True,True
ATM_ONLY_SCORE5_P100_300_SPREAD1P5_DEPTH500,4,1,1,10,17767.999999999996,4441.999999999999,0.0,17767.999999999996,2.4360300654651184,2.5,-6491.00000000003,2.4360300654651184,0.3,1776.7999999999997,68192.99999999978,26199.999999999905,-172.0,True,True,True,False,False
CTX_ATM_ONLY_SCORE5_P100_300_SPREAD1P5_DEPTH500,4,1,1,2,3808.000000000002,952.0000000000005,0.0,3808.000000000002,5.072727272727191,0.5,-935.0000000000191,5.072727272727191,0.5,1904.000000000001,54232.99999999978,26199.999999999905,-180.0,True,True,True,False,False
actual_system,4,4,0,182,-50424.99999999978,-12606.249999999945,-26199.999999999905,-4499.999999999998,0.6912737586344632,45.5,-146524.99999999974,0.6976011994003009,0.45054945054945056,-277.06043956043834,0.0,0.0,0.0,False,True,False,True,False
