candle_age_bucket,burst_bucket,trades,net_pnl,avg_pnl,win_rate,target_hit_rate,hard_stop_rate
0-10s,3,62,-21199.999999999873,-341.9354838709657,0.46774193548387094,0.3709677419354839,0.12903225806451613
0-10s,4,65,-17925.00000000001,-275.76923076923094,0.4461538461538462,0.38461538461538464,0.13846153846153847
0-10s,5+,17,10899.99999999992,641.1764705882306,0.4117647058823529,0.23529411764705882,0.0
10-20s,3,36,-8175.000000000068,-227.08333333333522,0.4444444444444444,0.3888888888888889,0.1111111111111111
10-20s,4,30,-9025.000000000036,-300.83333333333456,0.43333333333333335,0.3333333333333333,0.1
10-20s,5+,10,3575.0000000000737,357.5000000000074,0.5,0.1,0.0
20-30s,3,18,-12499.999999999902,-694.444444444439,0.3333333333333333,0.2222222222222222,0.1111111111111111
20-30s,4,19,-2250.0000000000564,-118.42105263158192,0.3684210526315789,0.3157894736842105,0.05263157894736842
20-30s,5+,4,4599.999999999965,1149.9999999999914,0.75,0.25,0.0
30-40s,3,9,-1925.0000000000114,-213.88888888889016,0.2222222222222222,0.2222222222222222,0.0
30-40s,4,9,4300.00000000004,477.7777777777822,0.5555555555555556,0.4444444444444444,0.0
30-40s,5+,4,-1925.0000000000398,-481.25000000000995,0.25,0.0,0.0
